thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes
Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Often,Rarely,Often,Rarely
Very Often,Very Often,Somtimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Very Often,Very Often,Sometime,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Very Often,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Rarely,Sometimes,Somtimes,Very Often,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometime,Sometimes,Often,Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Rarely,Very Often
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Very Often
Rarely,Sometimes,Somtimes,Sometimes,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes
Sometimes,Sometimes,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Sometimes,Often,Very Often,Often,Very Often,Very Often,Very Often,Rarely,Often,Rarely
