thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Rarely,Sometimes,Rarely,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,Never,Often,Rarely
Sometimes,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes
Sometimes,Never,Somtimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Sometime,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely
Sometimes,Rarely,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Rarely,Very Often
Rarely,Rarely,Somtimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Never,Often,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never
Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely,Rarely,Often,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes
Rarely,Sometimes,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Often
Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Often,Sometimes,Very Often
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Very Often
Never,Never,Somtimes,Often,Often,Often,Often,Often,Often,Often,Very Often,Often,Never,Very Often,Very Often,Sometime,Never,Never,Often,Very Often,Sometimes,Never,Very Often,Never,Very Often,Never,Very Often
Never,Sometimes,Somtimes,Very Often,Often,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Very Often,Often,Rarely,Never,Never,Never,Very Often,Sometimes,Often,Rarely,Never,Often,Never,Sometimes,Never,Often
Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometime,Often,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes
Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Very Often,Often,Often,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never
Often,Very Often,Somtimes,Very Often,Very Often,Often,Sometimes,Very Often,Very Often,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Very Often
Sometimes,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Never,Often,Rarely,Very Often
Sometimes,Sometimes,Rarely,Never,Never,Rarely,Often,Often,Sometimes,Never,Never,Never,Sometimes,Never,Often,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Often,Never,Sometimes,Very Often,Sometimes
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Very Often,Very Often,Very Often,Sometimes,Sometimes,Often,Sometimes
Rarely,Sometimes,Somtimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes
Never,Sometimes,Somtimes,Often,Sometimes,Sometimes,Never,Often,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Very Often,Never,Often,Rarely,Often
Often,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Sometimes,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Often,Rarely,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Rarely,Very Often
Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very Often,Sometimes,Often,Very Often,Sometimes,Sometimes,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Often,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Often,Very Often,Often,Often,Rarely,Often,Rarely,Never,Never,Often,Sometimes,Sometimes,Rarely,Never,Sometimes
Rarely,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Often,Sometimes
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes
Never,Rarely,Somtimes,Rarely,Rarely,Never,Often,Very Often,Often,Rarely,Rarely,Never,Never,Rarely,Never,Very Often,Rarely,Often,Often,Never,Often,Never,Very Often,Never,Sometimes,Never,Often
Rarely,Rarely,Never,Rarely,Rarely,Very Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Never,Rarely,Often,Rarely,Very Often,Often,Rarely
Sometimes,Sometimes,Often,Often,Rarely,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Rarely,Often
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Very Often
Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Very Often,Never,Never,Sometimes,Never,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Never,Never,Never,Very Often,Rarely,Very Often,Very Often,Very Often,Very Often,Never,Never,Very Often,Very Often,Very Often,Sometimes,Rarely,Very Often,Never,Sometimes,Rarely,Often
Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Often,Often,Often,Rarely,Sometimes,Rarely,Often
Often,Rarely,Somtimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Often,Very Often,Very Often,Never,Sometimes,Often,Often,Often,Very Often,Often,Very Often,Sometimes,Sometimes,Often,Very Often
Sometimes,Rarely,Often,Often,Very Often,Rarely,Never,Sometimes,Very Often,Rarely,Sometimes,Rarely,Never,Often,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Sometimes,Never,Very Often
Often,Sometimes,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Rarely,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Often,Often,Rarely,Rarely,Sometimes,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Very Often,Never,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Never,Sometimes,Never,Sometimes,Rarely,Often,Never,Sometimes,Sometimes,Often,Never,Sometimes,Often,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Rarely,Never,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely
Sometimes,Sometimes,Very Often,Very Often,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Very Often,Rarely,Never,Very Often,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Often
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Often,Never,Often
Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes
Often,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Often,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Often,Very Often
Never,Rarely,Somtimes,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Sometimes
Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Often,Never,Sometimes,Often,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Never,Sometimes
Sometimes,Sometimes,Somtimes,Often,Very Often,Very Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Very Often,Sometime,Sometimes,Often,Very Often,Often,Often,Very Often,Sometimes,Often,Often,Often,Very Often
Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Rarely,Never,Sometimes,Never,Often,Sometimes,Rarely
Rarely,Rarely,Somtimes,Sometimes,Never,Often,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Often,Never,Never,Never,Never
Often,Sometimes,Somtimes,Very Often,Often,Sometimes,Often,Often,Sometimes,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Often,Sometimes,Often
Very Often,Often,Somtimes,Very Often,Very Often,Rarely,Very Often,Very Often,Very Often,Never,Often,Often,Often,Rarely,Often,Never,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Very Often,Rarely,Sometimes
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Rarely,Sometimes,Very Often,Often,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Often,Never,Sometimes,Sometimes,Often
Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Often,Never,Never,Very Often,Very Often,Often,Rarely,Rarely,Never,Sometimes
Rarely,Often,Very Often,Very Often,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Never,Never,Rarely,Very Often,Very Often,Often,Rarely,Never,Never,Never,Rarely,Rarely,Very Often
Never,Often,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Often,Never,Sometimes,Very Often,Very Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Very Often,Often,Very Often,Sometimes,Very Often,Very Often
Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely
Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometime,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes
Never,Very Often,Somtimes,Sometimes,Sometimes,Often,Never,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Very Often,Sometimes,Never,Sometimes,Very Often,Very Often,Often,Very Often,Very Often,Sometimes,Rarely,Sometimes,Rarely,Often
Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Very Often,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Never,Very Often,Never,Very Often
Never,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Very Often
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Sometimes,Never
Often,Sometimes,Somtimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely
Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely
Sometimes,Often,Somtimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Rarely
Never,Never,Never,Never,Sometimes,Very Often,Sometimes,Rarely,Never,Never,Never,Never,Never,Very Often,Very Often,Often,Sometimes,Never,Often,Never,Never,Never,Rarely,Never,Never,Never,Rarely
Never,Never,Very Often,Sometimes,Rarely,Never,Never,Never,Often,Rarely,Rarely,Often,Sometimes,Rarely,Never,Sometime,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never
Rarely,Very Often,Rarely,Never,Never,Often,Sometimes,Often,Very Often,Often,Very Often,Often,Never,Never,Never,Never,Sometimes,Never,Never,Very Often,Often,Often,Sometimes,Sometimes,Never,Rarely,Sometimes
Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Often,Very Often,Rarely,Sometimes,Rarely,Very Often,Never
Often,Often,Somtimes,Often,Very Often,Never,Often,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Often,Often,Rarely,Sometimes,Rarely
Often,Often,Somtimes,Sometimes,Often,Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Sometimes
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometime,Often,Very Often,Often,Sometimes,Often,Sometimes,Often,Often,Rarely,Sometimes,Sometimes
Sometimes,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Sometimes
Very Often,Very Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Sometime,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Very Often,Never,Often,Rarely
Sometimes,Often,Somtimes,Very Often,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes
Often,Sometimes,Somtimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely
Often,Very Often,Somtimes,Often,Sometimes,Often,Very Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Very Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Often,Often,Somtimes,Often,Often,Often,Often,Very Often,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Never,Often,Sometimes
Often,Very Often,Somtimes,Often,Very Often,Sometimes,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Sometimes,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Often,Sometimes,Often,Sometimes
Very Often,Very Often,Somtimes,Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Often,Sometimes,Often,Very Often,Often,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
Often,Often,Somtimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes
Very Often,Often,Often,Very Often,Often,Often,Very Often,Very Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Often,Very Often,Rarely,Often,Sometimes
Very Often,Very Often,Somtimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Often,Often,Sometimes,Often,Often,Rarely,Sometimes,Sometimes
Very Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Often,Sometimes,Often,Often,Sometimes,Very Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Very Often,Rarely,Sometimes,Sometimes
Often,Very Often,Somtimes,Sometimes,Often,Never,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,Never,Often,Rarely
Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes
Sometimes,Often,Somtimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,Rarely,Often,Never
Sometimes,Sometimes,Somtimes,Never,Rarely,Sometimes,Often,Often,Often,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes
Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Rarely,Often,Often,Never,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes
Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Often,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes
Rarely,Never,Often,Often,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely
Sometimes,Sometimes,Never,Rarely,Often,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Rarely,Often,Often,Often,Rarely,Often,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes
Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Never,Often,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Often,Never,Rarely,Rarely,Often,Often
Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Never,Never,Sometimes
Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Rarely,Sometimes,Often,Never,Never,Sometimes,Sometimes,Rarely,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Often,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Often,Never,Often,Rarely,Often
Rarely,Sometimes,Somtimes,Often,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Often,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes
Never,Rarely,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Very Often
